method,num_seeds_random,mean_se_mean_random,mean_se_std_random,gap_to_rzf_mean_random,gap_to_rzf_std_random,gap_to_best_reference_mean_random,gap_to_best_reference_std_random,high_snr_mean_gap_mean_random,high_snr_mean_gap_std_random,inference_latency_ms_mean_random,inference_latency_ms_std_random,split_mode_random,num_seeds_contiguous,mean_se_mean_contiguous,mean_se_std_contiguous,gap_to_rzf_mean_contiguous,gap_to_rzf_std_contiguous,gap_to_best_reference_mean_contiguous,gap_to_best_reference_std_contiguous,high_snr_mean_gap_mean_contiguous,high_snr_mean_gap_std_contiguous,inference_latency_ms_mean_contiguous,inference_latency_ms_std_contiguous,split_mode_contiguous,mean_se_delta_contiguous_minus_random,relative_position_generalization_gap,latency_source_consistent,K,Nt,Nsc
wmmse_iter_5,3,1.0884168644746144,0.0484054533512482,0.3828695673229262,0.0074229713699331,0.0,0.0,0.5457323538879704,0.0138785689001204,76.02622183253213,0.7190818816201128,random,3,1.0663602610251732,0.0,0.3133530119793274,0.0,0.0,0.0,0.4087126735292101,0.0,45.76457658278135,0.2166599796187417,contiguous,-0.02205660344944116,-0.020264849038413253,True,4,8,1
unfolded_wmmse_lite,3,0.860601396168757,0.0425891518429829,0.1992467417208392,0.0060629612569295,-0.1233739237328682,0.0025201127993348,0.2123015332900897,0.0085343753556468,35.2480634394063,1.0106984449122165,random,3,0.8719175615713203,0.0,0.163353082508177,0.0,-0.1094159165380688,0.0,0.1450369738619079,0.0,23.948021244238287,0.3022961620842583,contiguous,0.011316165402563305,0.013149136700150433,True,4,8,1
residual_rzf,3,0.7187883817485149,0.0359216973064656,0.0028164124813921,0.0002583118921995,-0.2666696626101898,0.0037189072332463,0.0062407774352429,0.0006399585879043,1.2404600570638042,0.0516588882257376,random,3,0.7638942001612298,8.020208261947282e-05,-0.0001347520578351,3.5614547894407816e-05,-0.2353391725026297,2.4788212459078573e-05,-0.0003372033505907,8.375558632121138e-05,0.933120623715998,0.0054443889072826,contiguous,0.04510581841271488,0.06275257023908912,True,4,8,1
rzf,3,0.7140871935657093,0.035737089938491,0.0,0.0,-0.2684468004608559,0.0036027201524819,0.0,0.0,0.9004530032204153,0.0508198840352037,random,3,0.7641905884125403,0.0,0.0,0.0,-0.2352465545635147,0.0,0.0,0.0,0.5410291669735064,0.0365820829593032,contiguous,0.05010339484683102,0.07016425346692703,True,4,8,1
cnn,3,0.711432904615441,0.0148160681284353,0.0075427487903345,0.0144222730698956,-0.2622828326583317,0.0069967267776736,-2.0504627495956707e-05,0.0311614464299034,0.7977123839858299,0.0466930622363547,random,3,0.6575408242441686,0.0276409378446128,-0.065215190898721,0.0191664180093265,-0.2816886872818724,0.0137606968452661,-0.1375179089822716,0.0386717491952998,0.6320881193581348,0.0426005023726244,contiguous,-0.053892080371272355,-0.0757514588117108,True,4,8,1
