method,num_seeds,mean_se_mean,mean_se_std,gap_to_rzf_mean,gap_to_rzf_std,gap_to_best_reference_mean,gap_to_best_reference_std,high_snr_mean_gap_mean,high_snr_mean_gap_std,inference_latency_ms_mean,inference_latency_ms_std
wmmse_iter_5,3,1.0663602610251732,0.0,0.31335301197932747,0.0,0.0,0.0,0.40871267352921015,0.0,45.76457658278135,0.2166599796187417
unfolded_wmmse_lite,3,0.8719175615713203,0.0,0.16335308250817707,0.0,-0.10941591653806881,0.0,0.14503697386190798,0.0,23.948021244238287,0.3022961620842583
rzf,3,0.7641905884125403,0.0,0.0,0.0,-0.23524655456351476,0.0,0.0,0.0,0.5410291669735064,0.03658208295930327
residual_rzf,3,0.7638942001612298,8.020208261947282e-05,-0.00013475205783513428,3.5614547894407816e-05,-0.2353391725026297,2.4788212459078573e-05,-0.0003372033505907285,8.375558632121138e-05,0.933120623715998,0.005444388907282602
cnn,3,0.6575408242441686,0.02764093784461281,-0.06521519089872106,0.0191664180093265,-0.28168868728187246,0.013760696845266178,-0.1375179089822716,0.03867174919529983,0.6320881193581348,0.04260050237262444
