method,method_type,checkpoint_path,precoder_interface_used_raw,precoder_input_type_raw,precoder_source_raw,project_side_precoder_raw,sionna_native_precoder_raw,full_native_only_raw,power_normalized,native_receiver_success_raw,used_sionna_resource_grid,used_sionna_channel,used_sionna_estimator,used_sionna_equalizer,used_sionna_demapper,teacher_used_during_inference,fallback_used_raw,fallback_stage,fallback_reason_raw,ber_if_available,symbol_mse_raw,effective_sinr_db_raw,approximate_sum_rate_raw,power_norm,runtime_ms,csi_interface_used,input_type,extraction_success,project_h_f_assisted,extracted_h_f_used,precoder_summary,method_base,approximate_sum_rate_precoder_output,symbol_mse_precoder_output,effective_sinr_db_precoder_output,native_receiver_success_precoder_output,fallback_used_precoder_output,fallback_reason_precoder_output,precoder_interface_used_precoder_output,precoder_input_type_precoder_output,precoder_source_precoder_output,project_side_precoder_precoder_output,sionna_native_precoder_precoder_output,full_native_only_precoder_output,sum_rate_abs_diff,symbol_mse_abs_diff,sinr_db_abs_diff,comparison_type,same_batch_comparison,not_strict_equivalence_test,strict_equivalence_claim_allowed,same_csi_object_used,same_raw_f_f_used,same_seed_used,equivalence_claim_allowed,interface_bug_evidence
learned_residual_rzf,learned,/home/developer716/workspace/ai-massive-mimo-hybrid-beamforming/outputs/runs/sionna_ofdm_residual_rzf/best.pt,False,raw_f_f,,,,False,,True,True,True,True,True,True,False,False,,,0.0,0.0418816022574901,13.77976655960083,18.54692268371582,1.0,77.23742799134925,True,ExtractedCSI,True,False,True,"{'input_type': 'raw_f_f', 'f_f_shape': [16, 16, 16, 4], 'precoder_interface_used': False, 'method': None, 'source': None, 'project_side_precoder': None, 'sionna_native_precoder': None, 'full_native_only': False, 'teacher_used_during_inference': False, 'power_normalized': None, 'power_norm': {'mean': 1.0, 'std': 7.300048565639372e-08, 'max_abs_deviation_from_one': 2.384185791015625e-07}, 'tensor_signature': 'b46c7e5ce43673358c106af957ba43e04b4ba894f67ae2b80527ab59e4058430'}",learned_residual_rzf,19.053653717041016,0.0382262468338012,14.176383018493652,True,False,,True,PrecoderOutput,learned_residual_rzf,True,False,False,0.5067310333251953,0.0036553554236889024,0.39661645889282227,cross_run_comparison,False,True,False,False,False,True,False,False
learned_residual_wmmse_distill,learned,/home/developer716/workspace/ai-massive-mimo-hybrid-beamforming/outputs/runs/sionna_ofdm_residual_wmmse_distill/best.pt,False,raw_f_f,,,,False,,True,True,True,True,True,True,False,False,,,0.0,0.041883822530508,13.779537677764893,18.546630859375,1.0,2.7808689628727734,True,ExtractedCSI,True,False,True,"{'input_type': 'raw_f_f', 'f_f_shape': [16, 16, 16, 4], 'precoder_interface_used': False, 'method': None, 'source': None, 'project_side_precoder': None, 'sionna_native_precoder': None, 'full_native_only': False, 'teacher_used_during_inference': False, 'power_normalized': None, 'power_norm': {'mean': 1.0, 'std': 7.146346092667955e-08, 'max_abs_deviation_from_one': 2.384185791015625e-07}, 'tensor_signature': 'b688c7832a678bf10fdb44b927ec64573e7ad65fbf17f29047fa770761db6acf'}",learned_residual_wmmse_distill,19.054424285888672,0.0382209494709968,14.176985025405884,True,False,,True,PrecoderOutput,learned_residual_wmmse_distill,True,False,False,0.5077934265136719,0.0036628730595111986,0.3974473476409912,cross_run_comparison,False,True,False,False,False,True,False,False
project_rzf,analytic,,False,raw_f_f,,,,False,,True,True,True,True,True,True,False,False,,,0.0,0.0418960750102996,13.77826690673828,18.54500961303711,0.9999999403953552,0.0,True,ExtractedCSI,True,False,True,"{'input_type': 'raw_f_f', 'f_f_shape': [16, 16, 16, 4], 'precoder_interface_used': False, 'method': None, 'source': None, 'project_side_precoder': None, 'sionna_native_precoder': None, 'full_native_only': False, 'teacher_used_during_inference': False, 'power_normalized': None, 'power_norm': {'mean': 0.9999999403953552, 'std': 1.1733185800721913e-07, 'max_abs_deviation_from_one': 2.384185791015625e-07}, 'tensor_signature': '6eb8ce89b10ba4ee9b013835acbe85a40a613551dc3b25aa7c214c8977b58564'}",project_rzf,19.054819107055664,0.0382182337343692,14.17729377746582,True,False,,True,PrecoderOutput,project_rzf,True,False,False,0.5098094940185547,0.0036778412759303977,0.39902687072754084,cross_run_comparison,False,True,False,False,False,True,False,False
project_wmmse_iter_5,analytic,,False,raw_f_f,,,,False,,True,True,True,True,True,True,False,False,,,0.0,0.0433655157685279,13.628554344177246,18.354209899902344,1.0,0.0,True,ExtractedCSI,True,False,True,"{'input_type': 'raw_f_f', 'f_f_shape': [16, 16, 16, 4], 'precoder_interface_used': False, 'method': None, 'source': None, 'project_side_precoder': None, 'sionna_native_precoder': None, 'full_native_only': False, 'teacher_used_during_inference': False, 'power_normalized': None, 'power_norm': {'mean': 1.0, 'std': 4.470348358154297e-08, 'max_abs_deviation_from_one': 1.1920928955078125e-07}, 'tensor_signature': 'b4bb9a3b02fd55d3759209b96b186dd9c70c7a0a1b0ccfbb27c4b09e9841daae'}",project_wmmse_iter_5,18.67144775390625,0.0409509316086769,13.87736201286316,True,False,,True,PrecoderOutput,project_wmmse_iter_5,True,False,False,0.31723785400390625,0.002414584159850998,0.24880766868591309,cross_run_comparison,False,True,False,False,False,True,False,False
